feature,client_0,client_1,client_2,client_3,client_4,mean
income,0.186851,0.194524,0.181441,0.191585,0.181066,0.187093
name_email_similarity,0.262186,0.239147,0.236922,0.257557,0.236086,0.246379
prev_address_months_count,0.0083243,0.00894351,0.0102944,0.0115663,0.00683322,0.00919234
current_address_months_count,0.486227,0.461483,0.319297,0.52039,0.452391,0.447958
customer_age,0.0476713,0.0524697,0.0625532,0.0593171,0.0614635,0.056695
days_since_request,0.409813,0.192243,0.165324,0.0633956,0.26835,0.219825
intended_balcon_amount,0.10922,0.109229,0.100097,0.107251,0.108547,0.106869
zip_count_4w,0.0917882,0.0588807,0.0651035,0.0973674,0.0589879,0.0744255
velocity_6h,0.00067999,0.00109377,0.00028108,0.00366873,0.00218698,0.00158211
velocity_24h,0.110918,0.162886,0.184906,0.115182,0.110527,0.136884
velocity_4w,0.0953671,0.0987066,0.179002,0.106427,0.150056,0.125912
bank_branch_count_8w,0.0756559,0.172519,0.0344588,0.0391697,0.0367317,0.0717071
date_of_birth_distinct_emails_4w,0.0242423,0.0285011,0.0332109,0.0360388,0.0332885,0.0310563
credit_risk_score,0.0612269,0.0691824,0.0731125,0.0591873,0.0675372,0.0660493
email_is_free,0.205992,0.167745,0.190826,0.198407,0.189128,0.190419
phone_home_valid,0.392816,0.401413,0.41835,0.34935,0.36794,0.385974
phone_mobile_valid,0.00713133,0.00916766,0.00430358,0.0098527,0.00715629,0.00752231
bank_months_count,0.059919,0.0409135,0.0563743,0.0522395,0.0446961,0.0508285
has_other_cards,0.267046,0.238258,0.255316,0.272552,0.289851,0.264605
proposed_credit_limit,0.0179846,0.0237749,0.0277178,0.0182859,0.0238052,0.0223137
foreign_request,0.0182911,0.0189431,0.0184187,0.0198585,0.0188761,0.0188775
session_length_in_minutes,0.0223212,0.0101506,0.0131096,0.0197223,0.0218072,0.0174222
keep_alive_session,0.317652,0.200941,0.266463,0.270502,0.30965,0.273041
device_distinct_emails_8w,0.0323337,0.0323341,0.0345816,0.0307612,0.0343745,0.032877
prev_address_months_count_missing,0.238258,0.2379,0.343917,0.254609,0.258735,0.266684
bank_months_count_missing,0.0014283,0.00195464,0.00251379,0.00295789,0.00205986,0.0021829
current_address_months_count_missing,0.000191565,0,0.000530982,0,0,0.000144509
session_length_in_minutes_missing,0,0,0,0,0,0
device_distinct_emails_8w_missing,0,0,0,0,0,0
payment_type_AA,0.000875013,0.000193983,0,0.000788956,0.000453007,0.000462192
payment_type_AB,0.000889872,0.000777371,0.00171818,0.00130254,0.00144435,0.00122646
payment_type_AC,0.00597768,0.00888029,0.00450973,0.00711428,0.0107793,0.00745226
payment_type_AD,0,0.000141642,0,0.000145623,0.000103459,7.81449e-05
payment_type_AE,0,0,0,0,0,0
employment_status_CA,0.000173512,0.000549147,0,0.000264865,0.000473724,0.00029225
employment_status_CB,0.0570096,0.0367361,0.0437032,0.0535974,0.044566,0.0471225
employment_status_CC,0.000292905,0.000541484,0.000551496,0.000908674,0.000503799,0.000559672
employment_status_CD,0.0187667,0.0195928,0.0198826,0.0195521,0.0205561,0.0196701
employment_status_CE,0.0155631,0.0136722,0.0151898,0.0162701,0.0170076,0.0155406
employment_status_CF,0.0298869,0.0278835,0.0297361,0.0293593,0.0284512,0.0290634
employment_status_CG,0,0,0,0,0,0
housing_status_BA,0.160803,0.168886,0.181063,0.149652,0.161053,0.164291
housing_status_BB,0.081105,0.0333902,0.0513947,0.074179,0.0878444,0.0655827
housing_status_BC,0.0198004,0.00786773,0.00816876,0.0129735,0.0245444,0.014671
housing_status_BD,0,0.000183267,0.000541664,0,0,0.000144986
housing_status_BE,0.102566,0.0857866,0.0907216,0.114023,0.101426,0.0989046
housing_status_BF,0,0,0,0,0,0
housing_status_BG,0,0,0.000180356,0,0,3.60711e-05
source_INTERNET,0,0,0,0.000508514,0.000253585,0.00015242
source_TELEAPP,0.000408441,0,0,0,0.000327443,0.000147177
device_os_linux,0.192085,0.179495,0.153959,0.170291,0.199353,0.179037
device_os_macintosh,0.00723289,0.00700439,0.0114078,0.0071243,0.0067458,0.00790304
device_os_other,0.081347,0.0569038,0.0513604,0.0727663,0.110022,0.0744798
device_os_windows,0.165504,0.161579,0.193444,0.155531,0.174753,0.170162
device_os_x11,0.000836408,0.000539845,0.000498668,0.00038871,0.000833025,0.000619331
