feature,client_0,client_1,client_2,client_3,client_4,mean
income,0.0504466,0.0381738,0.0496786,0.0305066,0.0462934,0.0430198
name_email_similarity,0.331083,0.267293,0.295372,0.422682,0.320242,0.327334
prev_address_months_count,0.0721156,0.0702357,0.0882021,0.0854759,0.0646341,0.0761327
current_address_months_count,0.347514,0.394019,0.321605,0.384911,0.377764,0.365162
customer_age,0.451365,0.689694,0.595348,0.555758,0.634729,0.585379
days_since_request,0.36196,0.3791,0.358866,0.374046,0.377395,0.370274
intended_balcon_amount,0.681773,0.671162,0.727089,0.631919,0.637585,0.669906
zip_count_4w,0.691586,0.670274,0.827883,0.644833,0.885218,0.743959
velocity_6h,0.107057,0.129249,0.150045,0.18773,0.16227,0.14727
velocity_24h,0.115483,0.0929675,0.114784,0.131331,0.113354,0.113584
velocity_4w,0.109557,0.101239,0.102472,0.128747,0.108754,0.110154
bank_branch_count_8w,0.0666549,0.050216,0.0820615,0.0620053,0.0450289,0.0611933
date_of_birth_distinct_emails_4w,0.167978,0.238681,0.274671,0.281136,0.275887,0.247671
credit_risk_score,0.396644,0.506805,0.450527,0.496341,0.550576,0.480179
email_is_free,1.3369,1.41219,1.14378,0.990834,1.37409,1.25156
phone_home_valid,1.86095,1.58907,1.65852,1.41221,1.20852,1.54585
phone_mobile_valid,0.198518,0.156509,0.170679,0.145108,0.195274,0.173218
bank_months_count,0.502948,0.42422,0.37979,0.385277,0.546179,0.447683
has_other_cards,1.48943,1.13646,0.880575,0.934586,1.16484,1.12118
proposed_credit_limit,0.167099,0.333577,0.355581,0.239881,0.435731,0.306374
foreign_request,0.125068,0.145652,0.135109,0.164806,0.150509,0.144229
session_length_in_minutes,0.0875076,0.0980923,0.161017,0.190908,0.100954,0.127696
keep_alive_session,0.643055,0.739689,0.555813,0.70324,0.620049,0.652369
device_distinct_emails_8w,0.10744,0.0990335,0.0992197,0.112759,0.111961,0.106083
prev_address_months_count_missing,0.686387,0.558021,0.748939,0.684792,0.579382,0.651504
bank_months_count_missing,0.146049,0.119153,0.0830209,0.0826511,0.0474133,0.0956575
current_address_months_count_missing,0,0,0,0,0,0
session_length_in_minutes_missing,0.00348342,0,0,0,0,0.000696685
device_distinct_emails_8w_missing,0,0,0,0,0,0
payment_type_AA,0.967129,0.439031,0.70687,0.760079,0.405369,0.655696
payment_type_AB,0.912265,0.218469,0.58109,0.504744,0.0702006,0.457354
payment_type_AC,0.780617,0.417162,0.574208,0.538497,0.305082,0.523113
payment_type_AD,0.347081,0.28898,0.305945,0.296431,0.28146,0.30398
payment_type_AE,0,0,0,0,0,0
employment_status_CA,0.0850084,0.0601008,0.0872665,0.142366,0.129682,0.100885
employment_status_CB,0.0336827,0.0522346,0.0387206,0.0505367,0.0472862,0.0444922
employment_status_CC,0.0703327,0.0520537,0.0452543,0.0474454,0.0369912,0.0504154
employment_status_CD,0.00669479,0.0099015,0.0137156,0.0106403,0.0104938,0.0102892
employment_status_CE,0.0192339,0.0313242,0.033089,0.0287684,0.0381315,0.0301094
employment_status_CF,0.0394353,0.0897289,0.0517865,0.0703633,0.0746576,0.0651943
employment_status_CG,0,0,0,0,0,0
housing_status_BA,0.198569,0.240274,0.372349,0.325916,0.283894,0.284201
housing_status_BB,2.28207,1.77072,1.95211,1.90354,2.1028,2.00225
housing_status_BC,1.19693,1.46221,1.36928,1.55966,1.39507,1.39663
housing_status_BD,0.177249,0.177645,0.192044,0.22467,0.177485,0.189819
housing_status_BE,0.801556,0.753865,0.951212,0.89534,0.817232,0.843841
housing_status_BF,0,0,0,0,0.00290201,0.000580402
housing_status_BG,0,0,0,0,0,0
source_INTERNET,0.0690698,0.0662091,0.0673978,0.0681739,0.0667929,0.0675287
source_TELEAPP,0.00236536,0.000837667,0.00405756,0.00256701,0.00346225,0.00265797
device_os_linux,0.582477,0.197307,0.575181,0.405112,0.688606,0.489736
device_os_macintosh,0.295689,0.265342,0.31186,0.289089,0.314501,0.295296
device_os_other,1.10445,0.858283,1.02376,0.868789,1.27733,1.02652
device_os_windows,0.176605,0.0388705,0.143142,0.112151,0.335603,0.161274
device_os_x11,0,0,0.000307592,0,0,6.15184e-05
