feature,client_0,client_1,client_2,client_3,client_4,mean
income,1.58679,2.11732,1.89611,1.93261,2.46458,1.99948
name_email_similarity,0.444837,0.64578,0.504137,1.10147,0.528355,0.644916
prev_address_months_count,0.116581,0.11957,0.166056,0.157468,0.131382,0.138212
current_address_months_count,0.419479,0.999492,0.469169,0.356304,0.513865,0.551662
customer_age,0.104696,0.404927,0.18917,0.208943,0.290808,0.239709
days_since_request,0.104781,0.104549,0.177239,0.149014,0.167264,0.14057
intended_balcon_amount,0.801342,0.771997,0.762738,0.48625,0.535094,0.671484
zip_count_4w,0.852165,1.8859,1.78496,0.843105,1.99137,1.4715
velocity_6h,0.592791,0.849664,0.453352,0.546899,0.69829,0.628199
velocity_24h,0.0550499,0.0918497,0.0680438,0.0941901,0.0692174,0.0756702
velocity_4w,0.502294,0.460646,0.574175,0.52184,1.03529,0.618848
bank_branch_count_8w,0.0530076,0.082671,0.111945,0.124448,0.192003,0.112815
date_of_birth_distinct_emails_4w,0.310381,0.302131,0.295442,0.219669,0.161996,0.257924
credit_risk_score,0.218541,0.22916,0.49784,0.469068,0.608014,0.404525
email_is_free,0.221892,0.288334,0.465424,0.340736,0.575633,0.378404
phone_home_valid,0.328873,0.283111,0.280245,0.39861,0.326158,0.323399
phone_mobile_valid,0.0272366,0.016596,0.0240668,0.0573486,0.0248618,0.0300219
bank_months_count,0.305905,0.390475,0.580502,0.677564,0.590651,0.509019
has_other_cards,1.25742,1.3724,1.22262,1.11372,1.53043,1.29932
proposed_credit_limit,0.816797,1.26496,1.86663,0.900835,1.38083,1.24601
foreign_request,0.039662,0.0254754,0.0694154,0.0761205,0.0230217,0.046739
session_length_in_minutes,0.102213,0.116901,0.133607,0.144574,0.216056,0.14267
keep_alive_session,0.156274,0.288998,0.244813,0.336571,0.338949,0.273121
device_distinct_emails_8w,0.00227363,0.00153499,0.000876373,0,0.00300461,0.00153792
prev_address_months_count_missing,1.07634,0.989757,1.24631,1.23184,0.884857,1.08582
bank_months_count_missing,0.30887,0.209245,0.291139,0.259719,0.171396,0.248074
current_address_months_count_missing,0,0,0,0,0,0
session_length_in_minutes_missing,0.00226346,0,0,0,0,0.000452692
device_distinct_emails_8w_missing,0,0,0,0,0,0
payment_type_AA,0.220818,0.363544,0.409994,0.345888,0.309773,0.330003
payment_type_AB,0.0587025,0.0732104,0.123142,0.058475,0.0412481,0.0709556
payment_type_AC,0.00421156,0.00179324,0.00044931,0.00146887,0.00879313,0.00334322
payment_type_AD,0.145352,0.194423,0.269359,0.265225,0.279758,0.230823
payment_type_AE,0,0,0,0,0,0
employment_status_CA,0.463116,0.413458,0.482581,0.528916,0.538807,0.485375
employment_status_CB,0.324203,0.28687,0.478638,0.376916,0.24708,0.342741
employment_status_CC,0.0549859,0.0733584,0.093763,0.083276,0.0866603,0.0784087
employment_status_CD,0.0763138,0.0993102,0.142184,0.121529,0.120532,0.111974
employment_status_CE,0.0755323,0.079451,0.111913,0.0929183,0.0982919,0.0916212
employment_status_CF,0.0868901,0.076871,0.0731072,0.108418,0.0599093,0.0810392
employment_status_CG,0,0,0,0,0,0
housing_status_BA,1.72175,1.07522,1.959,1.46752,1.02842,1.45038
housing_status_BB,0.85038,1.23018,1.01584,0.949246,1.25181,1.05949
housing_status_BC,0.0495384,0.145731,0.154549,0.122414,0.0776358,0.109974
housing_status_BD,0.0315126,0.0663161,0.0627279,0.0554171,0.0672431,0.0566434
housing_status_BE,0.250401,5.93675,0.414091,0.381096,0.473634,1.4912
housing_status_BF,0,0,0,0,0.00106427,0.000212854
housing_status_BG,0,0,0,0,0,0
source_INTERNET,0.00105308,0.00460887,0.00313957,0,0.00245667,0.00225164
source_TELEAPP,0.00140658,0.000688041,0.00149066,0,0.00245843,0.00120874
device_os_linux,0.00425275,0.00164158,0.00888999,0.00572481,0.0114814,0.0063981
device_os_macintosh,0.0189807,0.0530692,0.0907085,0.0760094,0.0710134,0.0619562
device_os_other,0.155358,0.127444,0.421929,0.370819,0.339426,0.282995
device_os_windows,1.23796,1.32925,1.48646,1.10422,1.33218,1.29801
device_os_x11,0.00213995,0,0.00723128,0.00439876,0.00283156,0.00332031
