feature,client_0_s11,client_0_s22,mean
income,0.115845,0.115714,0.115779
name_email_similarity,0.184494,0.184513,0.184504
prev_address_months_count,0.0137934,0.0140117,0.0139025
current_address_months_count,0.23541,0.235524,0.235467
customer_age,0.0725493,0.0723462,0.0724478
days_since_request,0.0748858,0.0751042,0.074995
intended_balcon_amount,0.13042,0.130722,0.130571
zip_count_4w,0.102536,0.102506,0.102521
velocity_6h,0.0432248,0.0430302,0.0431275
velocity_24h,0.0735658,0.0733688,0.0734673
velocity_4w,0.124634,0.124999,0.124817
bank_branch_count_8w,0.0462748,0.0464191,0.046347
date_of_birth_distinct_emails_4w,0.0485164,0.0483906,0.0484535
credit_risk_score,0.0778803,0.0779059,0.0778931
email_is_free,0.190081,0.190474,0.190277
phone_home_valid,0.240578,0.241038,0.240808
phone_mobile_valid,0.0217906,0.0217543,0.0217725
bank_months_count,0.060194,0.0602418,0.0602179
has_other_cards,0.163221,0.163405,0.163313
proposed_credit_limit,0.0525611,0.0522918,0.0524265
foreign_request,0.0265673,0.0269702,0.0267687
session_length_in_minutes,0.0550794,0.0551459,0.0551127
keep_alive_session,0.214734,0.214319,0.214527
device_distinct_emails_8w,0.0250903,0.0251778,0.0251341
prev_address_months_count_missing,0.26588,0.266057,0.265969
bank_months_count_missing,0.0183228,0.0183939,0.0183584
current_address_months_count_missing,0,0,0
session_length_in_minutes_missing,0,0,0
device_distinct_emails_8w_missing,0,0,0
payment_type_AA,0.0113744,0.0109504,0.0111624
payment_type_AB,0.0263381,0.026105,0.0262216
payment_type_AC,0.0400164,0.0402012,0.0401088
payment_type_AD,0.00232504,0.00230728,0.00231616
payment_type_AE,0,0,0
employment_status_CA,0.00963886,0.0097254,0.00968213
employment_status_CB,0.0820693,0.0822395,0.0821544
employment_status_CC,0.00217925,0.00224328,0.00221126
employment_status_CD,0.00860237,0.00865224,0.0086273
employment_status_CE,0.020091,0.0201467,0.0201189
employment_status_CF,0.0138487,0.0138821,0.0138654
employment_status_CG,0,0,0
housing_status_BA,0.235533,0.235719,0.235626
housing_status_BB,0.0461606,0.0461568,0.0461587
housing_status_BC,0.0230617,0.0227982,0.0229299
housing_status_BD,0.001667,0.00167695,0.00167198
housing_status_BE,0.0718331,0.0719248,0.071879
housing_status_BF,0.00496767,0.00502455,0.00499611
housing_status_BG,0,0,0
source_INTERNET,0.000189447,0.000193045,0.000191246
source_TELEAPP,0.000375914,0.000404769,0.000390342
device_os_linux,0.112976,0.113298,0.113137
device_os_macintosh,0.0207138,0.0207726,0.0207432
device_os_other,0.0809378,0.0813603,0.081149
device_os_windows,0.208327,0.208685,0.208506
device_os_x11,0.0027092,0.0027005,0.00270485
