feature,client_0_s11,client_0_s22,mean
income,0.159167,0.158984,0.159076
name_email_similarity,0.268741,0.269266,0.269004
prev_address_months_count,0.041294,0.0416267,0.0414604
current_address_months_count,0.100917,0.100681,0.100799
customer_age,0.132862,0.132079,0.132471
days_since_request,0.043037,0.0438716,0.0434543
intended_balcon_amount,0.0373227,0.0375725,0.0374476
zip_count_4w,0.146647,0.148068,0.147358
velocity_6h,0.0484787,0.0488979,0.0486883
velocity_24h,0.0524749,0.0527656,0.0526202
velocity_4w,0.159468,0.159265,0.159366
bank_branch_count_8w,0.0362011,0.0366678,0.0364345
date_of_birth_distinct_emails_4w,0.123164,0.123587,0.123376
credit_risk_score,0.101472,0.100854,0.101163
email_is_free,0.311061,0.311117,0.311089
phone_home_valid,0.413852,0.41356,0.413706
phone_mobile_valid,0.0241024,0.0244006,0.0242515
bank_months_count,0.107563,0.108195,0.107879
has_other_cards,0.291332,0.29115,0.291241
proposed_credit_limit,0.140859,0.14049,0.140675
foreign_request,0.0713668,0.0717188,0.0715428
session_length_in_minutes,0.106613,0.106867,0.10674
keep_alive_session,0.362461,0.362212,0.362336
device_distinct_emails_8w,0.0435357,0.0436234,0.0435796
prev_address_months_count_missing,0.552665,0.552844,0.552755
bank_months_count_missing,0.0716441,0.0706881,0.0711661
current_address_months_count_missing,0,0,0
session_length_in_minutes_missing,0,0,0
device_distinct_emails_8w_missing,0,0,0
payment_type_AA,0.153162,0.1528,0.152981
payment_type_AB,0.0940397,0.0934476,0.0937437
payment_type_AC,0.0379548,0.0372564,0.0376056
payment_type_AD,0.00338076,0.00336605,0.0033734
payment_type_AE,0,0,0
employment_status_CA,0.210662,0.21039,0.210526
employment_status_CB,0.0195752,0.020259,0.0199171
employment_status_CC,0.0266697,0.0267289,0.0266993
employment_status_CD,0.00893601,0.00901194,0.00897397
employment_status_CE,0.0229177,0.0225349,0.0227263
employment_status_CF,0.014287,0.0141843,0.0142356
employment_status_CG,0,0,0
housing_status_BA,0.238751,0.239407,0.239079
housing_status_BB,0.0799839,0.0802491,0.0801165
housing_status_BC,0.102249,0.102233,0.102241
housing_status_BD,0.00284109,0.00299058,0.00291584
housing_status_BE,0.126416,0.126565,0.126491
housing_status_BF,0.00699483,0.00646857,0.0067317
housing_status_BG,0,0,0
source_INTERNET,0.000146212,8.1037e-05,0.000113624
source_TELEAPP,0.00153869,0.0016299,0.0015843
device_os_linux,0.345787,0.346379,0.346083
device_os_macintosh,0.00406459,0.00399227,0.00402843
device_os_other,0.268599,0.269013,0.268806
device_os_windows,0.101241,0.101532,0.101386
device_os_x11,0.00565528,0.00557835,0.00561681
